trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
شمال افريقيا,http://twitter.com/search?q=%22%D8%B4%D9%85%D8%A7%D9%84+%D8%A7%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7%22,NA,%22%D8%B4%D9%85%D8%A7%D9%84+%D8%A7%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
اليوفي,http://twitter.com/search?q=%D8%A7%D9%84%D9%8A%D9%88%D9%81%D9%8A,NA,%D8%A7%D9%84%D9%8A%D9%88%D9%81%D9%8A,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
سوريا,http://twitter.com/search?q=%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,NA,%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,10090,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
ميلان,http://twitter.com/search?q=%D9%85%D9%8A%D9%84%D8%A7%D9%86,NA,%D9%85%D9%8A%D9%84%D8%A7%D9%86,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
غاز المدينه,http://twitter.com/search?q=%22%D8%BA%D8%A7%D8%B2+%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D9%87%22,NA,%22%D8%BA%D8%A7%D8%B2+%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#MessiEnUrbanaPlay,http://twitter.com/search?q=%23MessiEnUrbanaPlay,NA,%23MessiEnUrbanaPlay,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Jones Huala,http://twitter.com/search?q=%22Jones+Huala%22,NA,%22Jones+Huala%22,23125,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Agustín,http://twitter.com/search?q=Agust%C3%ADn,NA,Agust%C3%ADn,135076,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Daniela,http://twitter.com/search?q=Daniela,NA,Daniela,89601,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Orsini,http://twitter.com/search?q=Orsini,NA,Orsini,13931,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
#GHArgentina,http://twitter.com/search?q=%23GHArgentina,NA,%23GHArgentina,17337,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
#TheLastOfUs,http://twitter.com/search?q=%23TheLastOfUs,NA,%23TheLastOfUs,440641,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
#GranHermano,http://twitter.com/search?q=%23GranHermano,NA,%23GranHermano,117404,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Hoyos,http://twitter.com/search?q=Hoyos,NA,Hoyos,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Marcos,http://twitter.com/search?q=Marcos,NA,Marcos,162029,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
#BuenLunes,http://twitter.com/search?q=%23BuenLunes,NA,%23BuenLunes,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Barracas,http://twitter.com/search?q=Barracas,NA,Barracas,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Romero,http://twitter.com/search?q=Romero,NA,Romero,31471,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Ramirez,http://twitter.com/search?q=Ramirez,NA,Ramirez,17876,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Frank,http://twitter.com/search?q=Frank,NA,Frank,208239,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
El Bolsón,http://twitter.com/search?q=%22El+Bols%C3%B3n%22,NA,%22El+Bols%C3%B3n%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Godoy Cruz,http://twitter.com/search?q=%22Godoy+Cruz%22,NA,%22Godoy+Cruz%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Mi 2023,http://twitter.com/search?q=%22Mi+2023%22,NA,%22Mi+2023%22,25978,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Equi,http://twitter.com/search?q=Equi,NA,Equi,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
vamos boca,http://twitter.com/search?q=%22vamos+boca%22,NA,%22vamos+boca%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Murió GH,http://twitter.com/search?q=%22Muri%C3%B3+GH%22,NA,%22Muri%C3%B3+GH%22,21440,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Pablo Moyano,http://twitter.com/search?q=%22Pablo+Moyano%22,NA,%22Pablo+Moyano%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Merentiel,http://twitter.com/search?q=Merentiel,NA,Merentiel,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Salomón Rondón,http://twitter.com/search?q=%22Salom%C3%B3n+Rond%C3%B3n%22,NA,%22Salom%C3%B3n+Rond%C3%B3n%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
River,http://twitter.com/search?q=River,NA,River,95818,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
KIRAZ A QUIEN TE COMISTE,http://twitter.com/search?q=%22KIRAZ+A+QUIEN+TE+COMISTE%22,NA,%22KIRAZ+A+QUIEN+TE+COMISTE%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Abrego,http://twitter.com/search?q=Abrego,NA,Abrego,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Otro 29,http://twitter.com/search?q=%22Otro+29%22,NA,%22Otro+29%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Calvin Klein,http://twitter.com/search?q=%22Calvin+Klein%22,NA,%22Calvin+Klein%22,240487,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Máximo Kirchner,http://twitter.com/search?q=%22M%C3%A1ximo+Kirchner%22,NA,%22M%C3%A1ximo+Kirchner%22,12496,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Belgrano,http://twitter.com/search?q=Belgrano,NA,Belgrano,10024,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Chile,http://twitter.com/search?q=Chile,NA,Chile,131594,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Tomba,http://twitter.com/search?q=Tomba,NA,Tomba,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Mapuche,http://twitter.com/search?q=Mapuche,NA,Mapuche,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Medina,http://twitter.com/search?q=Medina,NA,Medina,14539,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Gattoni,http://twitter.com/search?q=Gattoni,NA,Gattoni,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Interpol,http://twitter.com/search?q=Interpol,NA,Interpol,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Zapelli,http://twitter.com/search?q=Zapelli,NA,Zapelli,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Ganó Boca,http://twitter.com/search?q=%22Gan%C3%B3+Boca%22,NA,%22Gan%C3%B3+Boca%22,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Chelsea,http://twitter.com/search?q=Chelsea,NA,Chelsea,301151,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Varela,http://twitter.com/search?q=Varela,NA,Varela,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Conechny,http://twitter.com/search?q=Conechny,NA,Conechny,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Woody,http://twitter.com/search?q=Woody,NA,Woody,10060,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Pepin,http://twitter.com/search?q=Pepin,NA,Pepin,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Sordo,http://twitter.com/search?q=Sordo,NA,Sordo,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Fefe,http://twitter.com/search?q=Fefe,NA,Fefe,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Villa,http://twitter.com/search?q=Villa,NA,Villa,42398,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Ibai,http://twitter.com/search?q=Ibai,NA,Ibai,52617,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Pitton,http://twitter.com/search?q=Pitton,NA,Pitton,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
Galdames,http://twitter.com/search?q=Galdames,NA,Galdames,NA,Argentina,23424747,2023-01-31T04:27:43Z,2023-01-16T22:08:09Z
#mafs,http://twitter.com/search?q=%23mafs,NA,%23mafs,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
#SurvivorAU,http://twitter.com/search?q=%23SurvivorAU,NA,%23SurvivorAU,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
#QandA,http://twitter.com/search?q=%23QandA,NA,%23QandA,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
#4Corners,http://twitter.com/search?q=%234Corners,NA,%234Corners,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
#TheLastOfUs,http://twitter.com/search?q=%23TheLastOfUs,NA,%23TheLastOfUs,440641,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Opus,http://twitter.com/search?q=Opus,NA,Opus,16263,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Australia and France,http://twitter.com/search?q=%22Australia+and+France%22,NA,%22Australia+and+France%22,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Frank,http://twitter.com/search?q=Frank,NA,Frank,208239,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Bronte,http://twitter.com/search?q=Bronte,NA,Bronte,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Daily Quordle 372,http://twitter.com/search?q=%22Daily+Quordle+372%22,NA,%22Daily+Quordle+372%22,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Nick Offerman,http://twitter.com/search?q=%22Nick+Offerman%22,NA,%22Nick+Offerman%22,37972,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
lyndall,http://twitter.com/search?q=lyndall,NA,lyndall,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Louise,http://twitter.com/search?q=Louise,NA,Louise,106755,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Prue,http://twitter.com/search?q=Prue,NA,Prue,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Catholic,http://twitter.com/search?q=Catholic,NA,Catholic,27778,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Chuck Norris,http://twitter.com/search?q=%22Chuck+Norris%22,NA,%22Chuck+Norris%22,15075,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Bridget McKenzie,http://twitter.com/search?q=%22Bridget+McKenzie%22,NA,%22Bridget+McKenzie%22,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Murray Bartlett,http://twitter.com/search?q=%22Murray+Bartlett%22,NA,%22Murray+Bartlett%22,16281,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Shonee,http://twitter.com/search?q=Shonee,NA,Shonee,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Mundine,http://twitter.com/search?q=Mundine,NA,Mundine,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Novak,http://twitter.com/search?q=Novak,NA,Novak,71688,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Perrottet,http://twitter.com/search?q=Perrottet,NA,Perrottet,NA,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
Arts,http://twitter.com/search?q=Arts,NA,Arts,59114,Australia,23424748,2023-01-31T04:27:43Z,2023-01-12T18:34:59Z
